Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Glissière partie fixe droite",3,"🛌 Bloc lit peigne / Tiroir coulissant / Glissières fixes / Glissière partie fixe droite",4.59,97.8,14.28,100.0,1.3,5.3,""
"Glissière partie fixe gauche",3,"🛌 Bloc lit peigne / Tiroir coulissant / Glissières fixes / Glissière partie fixe gauche",4.63,145.5,14.28,100.0,1.3,5.3,""
"Planche intérieur",1,"🛌 Bloc lit peigne / Planche intérieur",3.76,88.5,7.75,139.5,74.5,35.01,"Texture Bois Plank"
"Planche support gauche glissière",2,"🛌 Bloc lit peigne / Planche intérieur / Planche support gauche glissière",3.76,145.62,7.75,101.0,1.5,35.01,""
"Planche placard gauche",2,"🛌 Bloc lit peigne / Planche intérieur / Planche placard gauche",116.93,86.95,7.75,1.5,74.5,35.0,""
"Planche droite intérieur",2,"🛌 Bloc lit peigne / Planche intérieur / Planche droite intérieur",3.08,96.4,3.54,101.0,1.5,35.01,""
"Planche séparation boxio / rangement",2,"🛌 Bloc lit peigne / Planche intérieur / Planche séparation boxio / rangement",141.09,91.35,3.54,1.5,74.5,35.0,""
"Tasseaux",1,"🛌 Bloc lit peigne / Tasseaux",4.59,91.3,3.54,187.0,74.5,35.01,"Texture Bois Plank"
"Tasseau longueur gauche support tiroir",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur gauche support tiroir",4.59,148.3,37.05,101.0,1.5,1.5,""
"Tasseau vertical fond gauche support tiroir",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical fond gauche support tiroir",104.09,148.3,5.04,1.5,1.5,32.01,""
"Tasseau longueur bas gauche support tiroir",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur bas gauche support tiroir",4.59,148.3,3.54,101.0,1.5,1.5,""
"Tasseau vertical fond droit support tiroir ",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical fond droit support tiroir ",104.11,94.8,5.04,1.5,1.5,33.51,""
"Tasseau vertical fond droite",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical fond droite",190.09,164.3,5.04,1.5,1.5,32.0,""
